Code,Country,PercentDeaths,Grouping,EPI,Price,PCV
MHL,Marshall Islands,30.2,In EPI Schedule,Yes,NA,
MRT,Mauritania ,22.6,Gavi,Yes,3.3,13
MUS,Mauritius,17,Not in EPI Schedule,No,NA,
MEX,Mexico,16.6,Self Procures PCV,Yes,NA,
FSM,Micronesia,28.9,In EPI Schedule,Yes,NA,
MDA,Moldova ,21.9,Gavi Graduating,Yes,3.3,13
MCO,Monaco,0,In EPI Schedule,Yes,NA,
MNG,Mongolia ,25.8,Gavi Graduating,No,NA,Introduction in 2015?
MNE,Montenegro,3.6,Not in EPI Schedule,No,NA,
MAR,Morocco,26.5,In EPI Schedule,Yes,NA,
MOZ,Mozambique ,18.6,Gavi,Yes,3.4,10
MMR,Myanmar ,26.9,Gavi,No,NA,Introduction in 2015?
NAM,Namibia,22.8,In EPI Schedule,Yes,NA,
NA,Nauru,26,Not in EPI Schedule,No,NA,
NPL,Nepal ,29.7,Gavi,Yes,3.4,10
NLD,Netherlands,5.1,In EPI Schedule,Yes,26.7,
NZL,New Zealand,6.1,In EPI Schedule,Yes,NA,
NIC,Nicaragua ,23.9,Gavi Graduating,Yes,3.3,13
NER,Niger ,22,Gavi,Yes,3.3,13
NGA,Nigeria ,19,Gavi Graduating,Yes,3.4,10
PRK,North Korea,33.6,Gavi,No,NA,
NOR,Norway,5.2,Other Price Point,Yes,64.89,13
OMN,Oman ,13.5,GCC,Yes,26.25,13
PAK,Pakistan ,28.8,Gavi,Yes,3.4,10
PLW,Palau,14.5,In EPI Schedule,Yes,NA,
PAN,Panama,22.4,PAHO RF,Yes,14.12,
PNG,Papua New Guinea,24.6,Gavi Graduating,Yes,3.3,13
PRY,Paraguay,20.3,PAHO RF,Yes,14.12,
PER,Peru,16.4,PAHO RF,Yes,14.12,
NA,Phillipines,28.2,Other Price Point,Yes,14.09,10
POL,Poland,8.5,Not in EPI Schedule,No,NA,
PRT,Portugal,4.8,Not in EPI Schedule,No,NA,
QAT,Qatar ,8.2,GCC,Yes,26.25,13
ROU,Romania,48.5,Not in EPI Schedule,No,NA,
NA,Russia,13.7,Not in EPI Schedule,No,NA,
RWA,Rwanda ,26.1,Gavi,Yes,3.3,13
WSM,Samoa,14.4,Not in EPI Schedule,No,NA,
SMR,San Marino,8.3,Not in EPI Schedule,No,NA,
NA,Sao Tome and Principe ,24.9,Gavi,Yes,3.3,13
SAU,Saudi Arabia ,14,GCC,Yes,26.25,13
SEN,Senegal ,18.4,Gavi,Yes,3.3,13
SRB,Serbia,11.6,Not in EPI Schedule,No,NA,
SYC,Seychelles,10,Not in EPI Schedule,No,NA,
SLE,Sierra Leone ,19.6,Gavi,Yes,3.3,13
SGP,Singapore,10.3,In EPI Schedule,Yes,NA,
NA,Slovakia,15.9,In EPI Schedule,Yes,NA,
SVN,Slovenia,3.5,In EPI Schedule,Yes,71.92,
NA,Soloman Islands ,29,Gavi Graduating,Yes,3.3,13
